status,price,bed,bath,acre_lot,full_address,street,city,state,zip_code,house_size,sold_date
for_sale,105000.0,3.0,2.0,0.12,"Sector Yahuecas Titulo # V84, Adjuntas, PR, 00601",Sector Yahuecas Titulo # V84,Adjuntas,Puerto Rico,601.0,920.0,
for_sale,80000.0,4.0,2.0,0.08,"Km 78 9 Carr # 135, Adjuntas, PR, 00601",Km 78 9 Carr # 135,Adjuntas,Puerto Rico,601.0,1527.0,
for_sale,67000.0,2.0,1.0,0.15,"556G 556-G 16 St, Juana Diaz, PR, 00795",556G 556-G 16 St,Juana Diaz,Puerto Rico,795.0,748.0,
for_sale,145000.0,4.0,2.0,0.1,"R5 Comunidad El Paraso Calle De Oro R-5 Ponce, Ponce, PR, 00731",R5 Comunidad El Paraso Calle De Oro R-5 Ponce,Ponce,Puerto Rico,731.0,1800.0,
for_sale,65000.0,6.0,2.0,0.05,"14 Navarro, Mayaguez, PR, 00680",14 Navarro,Mayaguez,Puerto Rico,680.0,,
for_sale,179000.0,4.0,3.0,0.46,"Bo Calabazas San Sebastian, San Sebastian, PR, 00612",Bo Calabazas San Sebastian,San Sebastian,Puerto Rico,612.0,2520.0,
for_sale,50000.0,3.0,1.0,0.2,"49.1 140, Ciales, PR, 00639",49.1 140,Ciales,Puerto Rico,639.0,2040.0,
for_sale,71600.0,3.0,2.0,0.08,"3467 St, Ponce, PR, 00731",3467 St,Ponce,Puerto Rico,731.0,1050.0,
for_sale,100000.0,2.0,1.0,0.09,"230 Rio De Vida, Ponce, PR, 00730",230 Rio De Vida,Ponce,Puerto Rico,730.0,1092.0,
for_sale,300000.0,5.0,3.0,7.46,"Pr 120 Bo Maravilla Sur K M # 335, Las Marias, PR, 00670",Pr 120 Bo Maravilla Sur K M # 335,Las Marias,Puerto Rico,670.0,5403.0,
for_sale,89000.0,3.0,2.0,13.39,"Km 3 4 Solar 457 Sr # 1, Isabela, PR, 00662",Km 3 4 Solar 457 Sr # 1,Isabela,Puerto Rico,662.0,1106.0,
for_sale,150000.0,3.0,2.0,0.08,"91 Del Rio, Juana Diaz, PR, 00795",91 Del Rio,Juana Diaz,Puerto Rico,795.0,1045.0,
for_sale,155000.0,3.0,2.0,0.1,"Pr, Lares, PR, 00669",Pr,Lares,Puerto Rico,669.0,4161.0,
for_sale,79000.0,5.0,2.0,0.12,"90 # A10, Utuado, PR, 00641",90 # A10,Utuado,Puerto Rico,641.0,1620.0,
for_sale,649000.0,5.0,5.0,0.74,"F118 Madrid St El Monte Iv Ext # Dev, Ponce, PR, 00731",F118 Madrid St El Monte Iv Ext # Dev,Ponce,Puerto Rico,731.0,2677.0,
for_sale,120000.0,3.0,2.0,0.08,"10-K Alejandrina St, Yauco, PR, 00698",10-K Alejandrina St,Yauco,Puerto Rico,698.0,1100.0,
for_sale,235000.0,4.0,4.0,0.22,"10 Calle Carrau # 3351, Mayaguez, PR, 00680",10 Calle Carrau # 3351,Mayaguez,Puerto Rico,680.0,3450.0,
for_sale,105000.0,3.0,2.0,0.08,"DD18 Calle 28, Ponce, PR, 00728",DD18 Calle 28,Ponce,Puerto Rico,728.0,1500.0,
for_sale,575000.0,3.0,2.0,3.88,"5.8 Carr 435 Km # 58, San Sebastian, PR, 00685",5.8 Carr 435 Km # 58,San Sebastian,Puerto Rico,685.0,4000.0,
for_sale,140000.0,6.0,3.0,0.25,"1 Bo Corcovada, Anasco, PR, 00610",1 Bo Corcovada,Anasco,Puerto Rico,610.0,1230.0,
for_sale,50000.0,2.0,1.0,0.23,"Km 5 0 Carr # 374, Yauco, PR, 00698",Km 5 0 Carr # 374,Yauco,Puerto Rico,698.0,621.0,
for_sale,165000.0,6.0,3.0,0.1,"110 Concepcion Vera Ayala, Moca, PR, 00676",110 Concepcion Vera Ayala,Moca,Puerto Rico,676.0,3000.0,
for_sale,189000.0,3.0,1.0,2.0,"4C Calle Girasoles, Coamo, PR, 00769",4C Calle Girasoles,Coamo,Puerto Rico,769.0,1213.0,
for_sale,115000.0,3.0,2.0,,"17 Estancias Del Madrigal Apt 326, Ponce, PR, 00716",17 Estancias Del Madrigal Apt 326,Ponce,Puerto Rico,716.0,1148.0,
for_sale,122500.0,3.0,2.0,0.05,"16 Muoz Rivera St, Yauco, PR, 00698",16 Muoz Rivera St,Yauco,Puerto Rico,698.0,1118.0,
for_sale,255000.0,3.0,2.0,0.28,"Rd 125 Km 15 8 Lot 1, San Sebastian, PR, 00685",Rd 125 Km 15 8 Lot 1,San Sebastian,Puerto Rico,685.0,1500.0,
for_sale,425000.0,4.0,3.0,0.3,"31 Calle A, Ponce, PR, 00730",31 Calle A,Ponce,Puerto Rico,730.0,3000.0,
for_sale,93000.0,4.0,2.0,0.11,"C12 Hacienda Olivieri St # 21ST, Guayanilla, PR, 00656",C12 Hacienda Olivieri St # 21ST,Guayanilla,Puerto Rico,656.0,1300.0,
for_sale,75000.0,4.0,2.0,0.04,"176 Calle Nemesio Gonzalez, Manati, PR, 00676",176 Calle Nemesio Gonzalez,Manati,Puerto Rico,676.0,1080.0,
for_sale,469000.0,3.0,2.0,0.69,"Carretera 457 K M 0 2 Bo Planas, Isabela, PR, 00662",Carretera 457 K M 0 2 Bo Planas,Isabela,Puerto Rico,662.0,2505.0,
for_sale,189000.0,6.0,3.0,1.75,"Km 536 Carretera # 149, Villalba, PR, 00766",Km 536 Carretera # 149,Villalba,Puerto Rico,766.0,1943.0,
